premise	hypothesis
フットボール選手は動物園に会社員をしている。	フットボール選手は現在動物園に会社員をしている。
1月以来、サーファーは屋外に現れる7月である。	サーファーは8月には屋外に現れた。
会社員は4月以来、ホッケー選手を続けてきた。現在、3月である。	会社員は10月にホッケー選手を辞めた。
学生は12月テニス選手を目指している。現在、2月である。	学生は11月に猫を飼った。
9月以来、テニス選手は若者を迎えている。現在、6月である。	テニス選手は9月に若者を集めた。
ライダーは9月以来ジョーンズを続けている。現在、9月である。	ライダーは2月にジョーンズを失った。
12月に若者は猿を殺した。	猿は6月に生まれた。
ホッケー選手は12月に生まれた。そのホッケー選手は4月に生まれた。	ホッケー選手は4月には集まっていた。
昨日、女の子は家にいた。今日は9月だ。	女の子は2月に家に戻った。
ホッケー選手はサーファーがする前にした。サーファーはスノーボーダーがする前にした。	ホッケー選手はスノーボーダーがゴール前にいた。
ジョーンズは大人がした後にした。大人は学生がした後にした。	ジョーンズは学生が去った後に亡くなった。
大人がした。ジョーンズがした。大人はジョーンズがする前にした。	ジョーンズは大人が帰った後であった。
学生がした。ホッケー選手がした。学生はホッケー選手がした後にした。	ホッケー選手は学生が集まる前に集まった。
学生がした。男の子がした。男の子は学生がする前にした。	学生は男の子が生まれた後であった。
若者がカエルをした。会社員がカエルをした。若者がホッケー選手より先にカエルをした。	会社員はavent_1より後にカエルを見つけた。
ライダーが事業をした。若者が事業をした。ライダーがサーファーより後に事業をした。	若者はavent_1より先に事業を始めた。
ホッケー選手がした。会社員がした。ホッケー選手は会社員がする前にした。	会社員はホッケー選手が辞めた後に辞めた。
女の子が海辺までした。女性がバーミンガムまでした。女の子は女性がバーミンガムまでする前に、海辺までした。	女性は女の子が海辺まで行った後に、バーミンガムまで行った。
女性は結婚前にスミスから生まれた。	女性はなかった。
若者は11月に屋外に出ていた。	若者は2月に屋外に出かけていた。
男性は3月に事業のリスを決めた。	男性は11月に事業のリスを決めた。
サーファーは5月に女性をもうけた。	サーファーは11月に女性をもうけた。
会社員は5月に猿を見た。	会社員は11月にその猿を見た。
スミスが6月に猿を捕まえた。	スミスはそれを10月に取り消した。
男の子が4月に大人を迎えた。	男の子が2月に大人を迎えた。
テニス選手が2日間以内に若者を集めた。テニス選手は1月にその若者を集め始めた。	テニス選手は3月までにその若者を習い終えた。
彼が5年間以内にリスを得た。	彼はそのリスを得るのに5年間を要した。
若者が1時間以内に会議室を訪れた。	若者はその会議室を出るのに1時間以上かかった。
老人が2年間以内にカンガルーを食べた。	老人は1日間以内にカンガルーを食べた。
スミスが3時間以内にスミスを捕まえた。	スミスはスミスを殺した。
若者は1時間以内にタクシーを止めた。	若者はタクシーを使った。
ジョーンズは4時間以内にジョーンズの彼を見つけた。	ジョーンズは彼を見つけるのに4時間を要した。
学生は4年間東京にいた。	学生は3時間東京にいた。
女の子は1年間海辺にいた。	女の子はちょうど3日間海辺にいた。
女性は日本に5日間留まった。	女性は日本に残った。
彼は編集者の学生を2日間雇った。	彼は編集者の学生を3年間務めた。
スノーボーダーはカンガルーの小説を2時間書いた。	スノーボーダーはカンガルーの小説を書いた。
女性は2日間キツネを追いかけた。	女性は3時間キツネを続けた。
若者は4年間タクシーを使った。	若者はタクシーを使った。
1月、カップルは毎time_unit_1カンガルーを受け取った。	カップルは9月にカンガルーを訪れた。
老人は毎time_unit_1ライダーにサーファーを送った。	老人が毎time_unit_1サーファーを持った子供がいる。
男性は9月に屋外をした。それから、男性は事業をやめて野原に戻った。	男性は事業を終えて屋外に出る前に、スミスを訪ねた。
学生はいつも大人をしている。3月に学生は大人をした。	学生は3月に大人を連れてきた。
スノーボーダーは決してライダーをしていることはない。10月にスノーボーダーはライダーを辞めた。	スノーボーダーは10月にライダーを募っていた。
テニス選手は10月に森にした。今日は5月だ。テニス選手はまだ森にしている。	テニス選手は12月に森に集まった。
老人が東京に来た時、老人は1年間男性を見ていた。	老人は東京にいた12月に男性を亡くしていた。
