num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
1	ボブはホームに交流戦を迎えている。	ボブは現在ホームに交流戦を迎えている。	entailment	0	None	None	現在（現在形）
2	トレントは問いに喉を開いている。	トレントは現在問いに喉を開いている。	entailment	0	None	None	現在（現在形）
3	トレントは胸にレイを抱き締めている。	トレントは現在胸にレイを抱き締めている。	entailment	0	None	None	現在（現在形）
4	マロリーは客に面接日を案内している。	マロリーは現在客に面接日を案内している。	entailment	0	None	None	現在（現在形）
5	ジャスティンは対象に自習を行っている。	ジャスティンは現在対象に自習を行っている。	entailment	0	None	None	現在（現在形）
6	パットは左翼にホームランを放っている。	パットは現在左翼にホームランを放っている。	entailment	0	None	None	現在（現在形）
7	トルーディーは途端に世界観を変えている。	トルーディーは現在途端に世界観を変えている。	entailment	0	None	None	現在（現在形）
8	マレットは皆さんに考え方を述べている。	マレットは現在皆さんに考え方を述べている。	entailment	0	None	None	現在（現在形）
9	ジャスティンは耳に立ち話をしている。	ジャスティンは現在耳に立ち話をしている。	entailment	0	None	None	現在（現在形）
10	パットは買収に諸手を上げている。	パットは現在買収に諸手を上げている。	entailment	0	None	None	現在（現在形）
611	ボブは2006年以来、転送届を出している。現在、2016年である。	ボブは2013年に転送届を出した。	entailment	3	年	random	以来（テイル形）
612	マレットは2008年以来、育成を始めている。現在、2018年である。	マレットは2013年に育成を始めた。	entailment	3	年	random	以来（テイル形）
613	アリスは2005年以来、皆さんを案内している。現在、2010年である。	アリスは2009年に皆さんを案内した。	entailment	3	年	random	以来（テイル形）
614	プロッドは2002年以来、談話を行っている。現在、2010年である。	プロッドは2005年に談話を行った。	entailment	3	年	random	以来（テイル形）
615	ジャスティンは2000年以来、感謝祭を開いている。現在、2013年である。	ジャスティンは2007年に感謝祭を開いた。	entailment	3	年	random	以来（テイル形）
616	トレントは2002年以来、姉を失っている。現在、2010年である。	トレントは2009年に姉を失った。	entailment	3	年	random	以来（テイル形）
617	キャロルは2003年以来、乳腺炎を起こしている。現在、2013年である。	キャロルは2005年に乳腺炎を起こした。	entailment	3	年	random	以来（テイル形）
618	ビクターは2002年以来、ケアプランを立ている。現在、2017年である。	ビクターは2005年にケアプランを立てた。	entailment	3	年	random	以来（テイル形）
619	ジャスティンは2001年以来、減額を決定している。現在、2014年である。	ジャスティンは2011年に減額を決定した。	entailment	3	年	random	以来（テイル形）
620	ペギーは2003年以来、体を引いている。現在、2016年である。	ペギーは2010年に体を引いた。	entailment	3	年	random	以来（テイル形）
621	ビクターは2003年以来、国会を解散している。現在、2001年である。	ビクターは2002年に国会を解散した。	contradiction	3	年	random	以来（テイル形）
622	アイザックは2018年以来、云々を聞いている。現在、2010年である。	アイザックは2002年に云々を聞いた。	contradiction	3	年	random	以来（テイル形）
623	トレントは2017年以来、人前式を挙げている。現在、2006年である。	トレントは2003年に人前式を挙げた。	contradiction	3	年	random	以来（テイル形）
624	ジャスティンは2020年以来、スマイルを浮かべている。現在、2000年である。	ジャスティンは2004年にスマイルを浮かべた。	contradiction	3	年	random	以来（テイル形）
625	ウォルターは2013年以来、ブレークを狙っている。現在、2018年である。	ウォルターは2003年にブレークを狙った。	contradiction	3	年	random	以来（テイル形）
626	ウォルターは2010年以来、こぼれ球を狙っている。現在、2001年である。	ウォルターは2007年にこぼれ球を狙った。	contradiction	3	年	random	以来（テイル形）
627	プロッドは2019年以来、風邪を引いている。現在、2002年である。	プロッドは2000年に風邪を引いた。	contradiction	3	年	random	以来（テイル形）
628	ジャスティンは2006年以来、恰好を見せている。現在、2003年である。	ジャスティンは2004年に恰好を見せた。	contradiction	3	年	random	以来（テイル形）
629	ペギーは2010年以来、詩作を始めている。現在、2019年である。	ペギーは2001年に詩作を始めた。	contradiction	3	年	random	以来（テイル形）
630	ジャスティンは2008年以来、予算を切っている。現在、2014年である。	ジャスティンは2002年に予算を切った。	contradiction	3	年	random	以来（テイル形）
631	オスカーは2000年以来、思いを伝えている。現在、2006年である。	オスカーは2014年に思いを伝えた。	neutral	3	年	random	以来（テイル形）
632	ウォルターは2006年以来、一切を負っている。現在、2008年である。	ウォルターは2017年に一切を負った。	neutral	3	年	random	以来（テイル形）
633	マレットは2013年以来、一瞬顔を出している。現在、2015年である。	マレットは2017年に一瞬顔を出した。	neutral	3	年	random	以来（テイル形）
634	イブは2007年以来、問い合わせを受けている。現在、2000年である。	イブは2011年に問い合わせを受けた。	neutral	3	年	random	以来（テイル形）
635	ゾーイは2008年以来、雄姿を現している。現在、2007年である。	ゾーイは2016年に雄姿を現した。	neutral	3	年	random	以来（テイル形）
636	オスカーは2018年以来、議長を訪問している。現在、2010年である。	オスカーは2019年に議長を訪問した。	neutral	3	年	random	以来（テイル形）
637	エレンは2010年以来、声を揃えている。現在、2014年である。	エレンは2018年に声を揃えた。	neutral	3	年	random	以来（テイル形）
638	アイザックは2016年以来、曲を発表している。現在、2011年である。	アイザックは2020年に曲を発表した。	neutral	3	年	random	以来（テイル形）
639	デイヴは2004年以来、測定を行っている。現在、2009年である。	デイヴは2012年に測定を行った。	neutral	3	年	random	以来（テイル形）
640	ビクターは2004年以来、車代を出している。現在、2017年である。	ビクターは2020年に車代を出した。	neutral	3	年	random	以来（テイル形）
641	スティーブは2003年以来、祭りを訪れている。現在、2008年である。	スティーブは2007年に祭りを訪れた。	entailment	3	年	short	以来（テイル形）
642	エレンは2016年以来、募金を手渡している。現在、2019年である。	エレンは2017年に募金を手渡した。	entailment	3	年	short	以来（テイル形）
643	デイヴは2007年以来、財産を提供している。現在、2012年である。	デイヴは2011年に財産を提供した。	entailment	3	年	short	以来（テイル形）
644	トレントは2017年以来、見舞を申し上げている。現在、2019年である。	トレントは2018年に見舞を申し上げた。	entailment	3	年	short	以来（テイル形）
645	キャロルは2011年以来、手直しを始めている。現在、2014年である。	キャロルは2012年に手直しを始めた。	entailment	3	年	short	以来（テイル形）
646	ウォルターは2009年以来、要望書を受け取っている。現在、2011年である。	ウォルターは2010年に要望書を受け取った。	entailment	3	年	short	以来（テイル形）
647	プロッドは2009年以来、リレーを見せている。現在、2011年である。	プロッドは2010年にリレーを見せた。	entailment	3	年	short	以来（テイル形）
648	キャロルは2009年以来、御互い気を使っている。現在、2013年である。	キャロルは2011年に御互い気を使った。	entailment	3	年	short	以来（テイル形）
649	イブは2016年以来、裾を伸ばしている。現在、2018年である。	イブは2017年に裾を伸ばした。	entailment	3	年	short	以来（テイル形）
650	トルーディーは2016年以来、モニターを貰っている。現在、2020年である。	トルーディーは2018年にモニターを貰った。	entailment	3	年	short	以来（テイル形）
651	マロリーは2020年以来、アタックを決めている。現在、2019年である。	マロリーは2015年にアタックを決めた。	contradiction	3	年	short	以来（テイル形）
652	マチルダは2010年以来、メールを立ち上げている。現在、2012年である。	マチルダは2008年にメールを立ち上げた。	contradiction	3	年	short	以来（テイル形）
653	オスカーは2008年以来、客を案内している。現在、2005年である。	オスカーは2003年に客を案内した。	contradiction	3	年	short	以来（テイル形）
654	マレットは2007年以来、校正を担当している。現在、2008年である。	マレットは2006年に校正を担当した。	contradiction	3	年	short	以来（テイル形）
655	デイヴは2018年以来、公示日を迎えている。現在、2020年である。	デイヴは2017年に公示日を迎えた。	contradiction	3	年	short	以来（テイル形）
656	トレントは2004年以来、要求を開始している。現在、2002年である。	トレントは2003年に要求を開始した。	contradiction	3	年	short	以来（テイル形）
657	マレットは2012年以来、喪主を努めている。現在、2008年である。	マレットは2009年に喪主を努めた。	contradiction	3	年	short	以来（テイル形）
