num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
1	ボブはホームに交流戦を迎えている。	ボブは現在ホームに交流戦を迎えている。	entailment	0	None	None	現在（現在形）
2	トレントは問いに喉を開いている。	トレントは現在問いに喉を開いている。	entailment	0	None	None	現在（現在形）
3	トレントは胸にレイを抱き締めている。	トレントは現在胸にレイを抱き締めている。	entailment	0	None	None	現在（現在形）
4	マロリーは客に面接日を案内している。	マロリーは現在客に面接日を案内している。	entailment	0	None	None	現在（現在形）
5	ジャスティンは対象に自習を行っている。	ジャスティンは現在対象に自習を行っている。	entailment	0	None	None	現在（現在形）
6	パットは左翼にホームランを放っている。	パットは現在左翼にホームランを放っている。	entailment	0	None	None	現在（現在形）
7	トルーディーは途端に世界観を変えている。	トルーディーは現在途端に世界観を変えている。	entailment	0	None	None	現在（現在形）
8	マレットは皆さんに考え方を述べている。	マレットは現在皆さんに考え方を述べている。	entailment	0	None	None	現在（現在形）
9	ジャスティンは耳に立ち話をしている。	ジャスティンは現在耳に立ち話をしている。	entailment	0	None	None	現在（現在形）
10	パットは買収に諸手を上げている。	パットは現在買収に諸手を上げている。	entailment	0	None	None	現在（現在形）
11	2008年以来、エレンは皆に伝えている。現在、2015年である。	エレンは2013年には皆に伝えていた。	entailment	1	年	random	以来（状態動詞）
12	2016年以来、アイザックは物音に覚ましている。現在、2020年である。	アイザックは2019年には物音に覚ましていた。	entailment	1	年	random	以来（状態動詞）
13	2003年以来、キャロルは映画祭に参加している。現在、2018年である。	キャロルは2012年には映画祭に参加していた。	entailment	1	年	random	以来（状態動詞）
14	2008年以来、アイザックは計画に定めている。現在、2019年である。	アイザックは2012年には計画に定めていた。	entailment	1	年	random	以来（状態動詞）
15	2000年以来、スティーブは相談に答えている。現在、2008年である。	スティーブは2001年には相談に答えていた。	entailment	1	年	random	以来（状態動詞）
16	2003年以来、イヴァンは社に居る。現在、2015年である。	イヴァンは2014年には社に居った。	entailment	1	年	random	以来（状態動詞）
17	2004年以来、マレットは私にくれている。現在、2015年である。	マレットは2007年には私にくれていた。	entailment	1	年	random	以来（状態動詞）
18	2004年以来、スティーブは消費者に届けている。現在、2014年である。	スティーブは2009年には消費者に届けていた。	entailment	1	年	random	以来（状態動詞）
19	2005年以来、アイザックは問い合わせに応じている。現在、2014年である。	アイザックは2011年には問い合わせに応じていた。	entailment	1	年	random	以来（状態動詞）
20	2015年以来、マロリーは結果に負っている。現在、2018年である。	マロリーは2017年には結果に負っていた。	entailment	1	年	random	以来（状態動詞）
21	2018年以来、トルーディーは母さんに贈っている。現在、2007年である。	トルーディーは2012年には母さんに贈っていた。	contradiction	1	年	random	以来（状態動詞）
22	2017年以来、ゾーイは企画に出演している。現在、2011年である。	ゾーイは2003年には企画に出演していた。	contradiction	1	年	random	以来（状態動詞）
23	2019年以来、ペギーは出迎えに上がっている。現在、2016年である。	ペギーは2003年には出迎えに上がっていた。	contradiction	1	年	random	以来（状態動詞）
24	2015年以来、ビクターは意見に傾けている。現在、2020年である。	ビクターは2014年には意見に傾けていた。	contradiction	1	年	random	以来（状態動詞）
25	2012年以来、トルーディーはローマに移籍している。現在、2004年である。	トルーディーは2001年にはローマに移籍していた。	contradiction	1	年	random	以来（状態動詞）
26	2010年以来、プロッドは答えに答えている。現在、2004年である。	プロッドは2009年には答えに答えていた。	contradiction	1	年	random	以来（状態動詞）
27	2013年以来、オスカーは御礼に歌っている。現在、2017年である。	オスカーは2002年には御礼に歌っていた。	contradiction	1	年	random	以来（状態動詞）
28	2003年以来、アリスは感触に覚ましている。現在、2001年である。	アリスは2002年には感触に覚ましていた。	contradiction	1	年	random	以来（状態動詞）
29	2015年以来、スティーブは客に案内している。現在、2016年である。	スティーブは2009年には客に案内していた。	contradiction	1	年	random	以来（状態動詞）
30	2020年以来、スティーブは講演に臨んでいる。現在、2018年である。	スティーブは2006年には講演に臨んでいた。	contradiction	1	年	random	以来（状態動詞）
31	2003年以来、オスカーは音に止めている。現在、2011年である。	オスカーは2019年には音に止めていた。	neutral	1	年	random	以来（状態動詞）
32	2003年以来、プロッドは伊丹に帰っている。現在、2011年である。	プロッドは2019年には伊丹に帰っていた。	neutral	1	年	random	以来（状態動詞）
33	2004年以来、マロリーは球場にやってきている。現在、2007年である。	マロリーは2012年には球場にやってきていた。	neutral	1	年	random	以来（状態動詞）
34	2001年以来、トレントは関係者に申し上げている。現在、2007年である。	トレントは2017年には関係者に申し上げていた。	neutral	1	年	random	以来（状態動詞）
35	2001年以来、イブは私に傾げている。現在、2012年である。	イブは2020年には私に傾げていた。	neutral	1	年	random	以来（状態動詞）
36	2010年以来、トルーディーは海外に留学している。現在、2004年である。	トルーディーは2020年には海外に留学していた。	neutral	1	年	random	以来（状態動詞）
37	2016年以来、トレントは海外に移籍している。現在、2015年である。	トレントは2019年には海外に移籍していた。	neutral	1	年	random	以来（状態動詞）
38	2005年以来、ゾーイは閣僚に指示している。現在、2003年である。	ゾーイは2013年には閣僚に指示していた。	neutral	1	年	random	以来（状態動詞）
39	2000年以来、キャロルは以内に行っている。現在、2013年である。	キャロルは2019年には以内に行っていた。	neutral	1	年	random	以来（状態動詞）
40	2012年以来、エレンは弁当に付いている。現在、2001年である。	エレンは2020年には弁当に付いていた。	neutral	1	年	random	以来（状態動詞）
41	2005年以来、アイザックは日本にやってきている。現在、2008年である。	アイザックは2007年には日本にやってきていた。	entailment	1	年	short	以来（状態動詞）
42	2012年以来、エレンは女の子に送っている。現在、2014年である。	エレンは2013年には女の子に送っていた。	entailment	1	年	short	以来（状態動詞）
43	2014年以来、トルーディーはドライブに誘っている。現在、2016年である。	トルーディーは2015年にはドライブに誘っていた。	entailment	1	年	short	以来（状態動詞）
44	2015年以来、マーヴィンは客に受けている。現在、2020年である。	マーヴィンは2018年には客に受けていた。	entailment	1	年	short	以来（状態動詞）
45	2011年以来、ゾーイは先生に受けている。現在、2013年である。	ゾーイは2012年には先生に受けていた。	entailment	1	年	short	以来（状態動詞）
46	2015年以来、パットは課長に手渡している。現在、2018年である。	パットは2017年には課長に手渡していた。	entailment	1	年	short	以来（状態動詞）
47	2016年以来、アリスは感情に持っている。現在、2019年である。	アリスは2017年には感情に持っていた。	entailment	1	年	short	以来（状態動詞）
48	2005年以来、チャーリーは全員に下している。現在、2008年である。	チャーリーは2006年には全員に下していた。	entailment	1	年	short	以来（状態動詞）
49	2005年以来、ボブは胸に抱き締めている。現在、2007年である。	ボブは2006年には胸に抱き締めていた。	entailment	1	年	short	以来（状態動詞）
50	2012年以来、イブは家に迎えている。現在、2014年である。	イブは2013年には家に迎えていた。	entailment	1	年	short	以来（状態動詞）
51	2007年以来、チャーリーはドームに迎えている。現在、2004年である。	チャーリーは2003年にはドームに迎えていた。	contradiction	1	年	short	以来（状態動詞）
52	2012年以来、エレンは姿に帰っている。現在、2011年である。	エレンは2008年には姿に帰っていた。	contradiction	1	年	short	以来（状態動詞）
53	2015年以来、トルーディーは相手に使っている。現在、2010年である。	トルーディーは2014年には相手に使っていた。	contradiction	1	年	short	以来（状態動詞）
54	2006年以来、イブは部分に付いている。現在、2008年である。	イブは2005年には部分に付いていた。	contradiction	1	年	short	以来（状態動詞）
55	2012年以来、パットは議会に臨んでいる。現在、2013年である。	パットは2010年には議会に臨んでいた。	contradiction	1	年	short	以来（状態動詞）
56	2016年以来、アリスは手に気付いている。現在、2018年である。	アリスは2015年には手に気付いていた。	contradiction	1	年	short	以来（状態動詞）
