num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
1	ボブはホームに交流戦を迎えている。	ボブは現在ホームに交流戦を迎えている。	entailment	0	None	None	現在（現在形）
2	トレントは問いに喉を開いている。	トレントは現在問いに喉を開いている。	entailment	0	None	None	現在（現在形）
3	トレントは胸にレイを抱き締めている。	トレントは現在胸にレイを抱き締めている。	entailment	0	None	None	現在（現在形）
4	マロリーは客に面接日を案内している。	マロリーは現在客に面接日を案内している。	entailment	0	None	None	現在（現在形）
5	ジャスティンは対象に自習を行っている。	ジャスティンは現在対象に自習を行っている。	entailment	0	None	None	現在（現在形）
6	パットは左翼にホームランを放っている。	パットは現在左翼にホームランを放っている。	entailment	0	None	None	現在（現在形）
7	トルーディーは途端に世界観を変えている。	トルーディーは現在途端に世界観を変えている。	entailment	0	None	None	現在（現在形）
8	マレットは皆さんに考え方を述べている。	マレットは現在皆さんに考え方を述べている。	entailment	0	None	None	現在（現在形）
9	ジャスティンは耳に立ち話をしている。	ジャスティンは現在耳に立ち話をしている。	entailment	0	None	None	現在（現在形）
10	パットは買収に諸手を上げている。	パットは現在買収に諸手を上げている。	entailment	0	None	None	現在（現在形）
11	2008年以来、エレンは皆に伝えている。現在、2015年である。	エレンは2013年には皆に伝えていた。	entailment	1	年	random	以来（状態動詞）
12	2016年以来、アイザックは物音に覚ましている。現在、2020年である。	アイザックは2019年には物音に覚ましていた。	entailment	1	年	random	以来（状態動詞）
13	2003年以来、キャロルは映画祭に参加している。現在、2018年である。	キャロルは2012年には映画祭に参加していた。	entailment	1	年	random	以来（状態動詞）
14	2008年以来、アイザックは計画に定めている。現在、2019年である。	アイザックは2012年には計画に定めていた。	entailment	1	年	random	以来（状態動詞）
15	2000年以来、スティーブは相談に答えている。現在、2008年である。	スティーブは2001年には相談に答えていた。	entailment	1	年	random	以来（状態動詞）
16	2003年以来、イヴァンは社に居る。現在、2015年である。	イヴァンは2014年には社に居った。	entailment	1	年	random	以来（状態動詞）
17	2004年以来、マレットは私にくれている。現在、2015年である。	マレットは2007年には私にくれていた。	entailment	1	年	random	以来（状態動詞）
18	2004年以来、スティーブは消費者に届けている。現在、2014年である。	スティーブは2009年には消費者に届けていた。	entailment	1	年	random	以来（状態動詞）
19	2005年以来、アイザックは問い合わせに応じている。現在、2014年である。	アイザックは2011年には問い合わせに応じていた。	entailment	1	年	random	以来（状態動詞）
20	2015年以来、マロリーは結果に負っている。現在、2018年である。	マロリーは2017年には結果に負っていた。	entailment	1	年	random	以来（状態動詞）
21	2018年以来、トルーディーは母さんに贈っている。現在、2007年である。	トルーディーは2012年には母さんに贈っていた。	contradiction	1	年	random	以来（状態動詞）
22	2017年以来、ゾーイは企画に出演している。現在、2011年である。	ゾーイは2003年には企画に出演していた。	contradiction	1	年	random	以来（状態動詞）
23	2019年以来、ペギーは出迎えに上がっている。現在、2016年である。	ペギーは2003年には出迎えに上がっていた。	contradiction	1	年	random	以来（状態動詞）
24	2015年以来、ビクターは意見に傾けている。現在、2020年である。	ビクターは2014年には意見に傾けていた。	contradiction	1	年	random	以来（状態動詞）
25	2012年以来、トルーディーはローマに移籍している。現在、2004年である。	トルーディーは2001年にはローマに移籍していた。	contradiction	1	年	random	以来（状態動詞）
26	2010年以来、プロッドは答えに答えている。現在、2004年である。	プロッドは2009年には答えに答えていた。	contradiction	1	年	random	以来（状態動詞）
27	2013年以来、オスカーは御礼に歌っている。現在、2017年である。	オスカーは2002年には御礼に歌っていた。	contradiction	1	年	random	以来（状態動詞）
28	2003年以来、アリスは感触に覚ましている。現在、2001年である。	アリスは2002年には感触に覚ましていた。	contradiction	1	年	random	以来（状態動詞）
29	2015年以来、スティーブは客に案内している。現在、2016年である。	スティーブは2009年には客に案内していた。	contradiction	1	年	random	以来（状態動詞）
30	2020年以来、スティーブは講演に臨んでいる。現在、2018年である。	スティーブは2006年には講演に臨んでいた。	contradiction	1	年	random	以来（状態動詞）
31	2003年以来、オスカーは音に止めている。現在、2011年である。	オスカーは2019年には音に止めていた。	neutral	1	年	random	以来（状態動詞）
32	2003年以来、プロッドは伊丹に帰っている。現在、2011年である。	プロッドは2019年には伊丹に帰っていた。	neutral	1	年	random	以来（状態動詞）
33	2004年以来、マロリーは球場にやってきている。現在、2007年である。	マロリーは2012年には球場にやってきていた。	neutral	1	年	random	以来（状態動詞）
34	2001年以来、トレントは関係者に申し上げている。現在、2007年である。	トレントは2017年には関係者に申し上げていた。	neutral	1	年	random	以来（状態動詞）
35	2001年以来、イブは私に傾げている。現在、2012年である。	イブは2020年には私に傾げていた。	neutral	1	年	random	以来（状態動詞）
36	2010年以来、トルーディーは海外に留学している。現在、2004年である。	トルーディーは2020年には海外に留学していた。	neutral	1	年	random	以来（状態動詞）
37	2016年以来、トレントは海外に移籍している。現在、2015年である。	トレントは2019年には海外に移籍していた。	neutral	1	年	random	以来（状態動詞）
38	2005年以来、ゾーイは閣僚に指示している。現在、2003年である。	ゾーイは2013年には閣僚に指示していた。	neutral	1	年	random	以来（状態動詞）
39	2000年以来、キャロルは以内に行っている。現在、2013年である。	キャロルは2019年には以内に行っていた。	neutral	1	年	random	以来（状態動詞）
40	2012年以来、エレンは弁当に付いている。現在、2001年である。	エレンは2020年には弁当に付いていた。	neutral	1	年	random	以来（状態動詞）
71	2002年8月以来、スティーブは逆手に取っている。現在、2008年3月である。	スティーブは2006年4月には逆手に取っていた。	entailment	1	年月	random	以来（状態動詞）
72	2002年3月以来、アイザックは店に払っている。現在、2012年8月である。	アイザックは2004年2月には店に払っていた。	entailment	1	年月	random	以来（状態動詞）
73	2000年6月以来、チャーリーは休みに出ている。現在、2004年12月である。	チャーリーは2003年1月には休みに出ていた。	entailment	1	年月	random	以来（状態動詞）
74	2003年11月以来、ビクターは近くにオープンしている。現在、2014年5月である。	ビクターは2011年9月には近くにオープンしていた。	entailment	1	年月	random	以来（状態動詞）
75	2000年8月以来、マロリーはメーンに選んでいる。現在、2015年12月である。	マロリーは2001年9月にはメーンに選んでいた。	entailment	1	年月	random	以来（状態動詞）
76	2006年3月以来、イブは団体に行っている。現在、2008年3月である。	イブは2007年9月には団体に行っていた。	entailment	1	年月	random	以来（状態動詞）
77	2004年1月以来、アリスは評判に付いている。現在、2018年7月である。	アリスは2014年1月には評判に付いていた。	entailment	1	年月	random	以来（状態動詞）
78	2006年5月以来、イヴァンは被災地に送っている。現在、2014年7月である。	イヴァンは2012年2月には被災地に送っていた。	entailment	1	年月	random	以来（状態動詞）
79	2005年5月以来、ビクターは半分に切っている。現在、2011年10月である。	ビクターは2007年9月には半分に切っていた。	entailment	1	年月	random	以来（状態動詞）
80	2004年11月以来、マーヴィンは御挨拶に伺っている。現在、2016年6月である。	マーヴィンは2013年2月には御挨拶に伺っていた。	entailment	1	年月	random	以来（状態動詞）
81	2008年10月以来、マチルダは国に払っている。現在、2005年3月である。	マチルダは2007年5月には国に払っていた。	contradiction	1	年月	random	以来（状態動詞）
82	2009年11月以来、ペギーは観光に案内している。現在、2020年5月である。	ペギーは2007年12月には観光に案内していた。	contradiction	1	年月	random	以来（状態動詞）
83	2010年2月以来、ボブは手元にやってきている。現在、2002年10月である。	ボブは2008年12月には手元にやってきていた。	contradiction	1	年月	random	以来（状態動詞）
84	2012年5月以来、マーヴィンは身に付いている。現在、2011年12月である。	マーヴィンは2009年11月には身に付いていた。	contradiction	1	年月	random	以来（状態動詞）
85	2018年2月以来、トレントはレッスンにやってきている。現在、2004年6月である。	トレントは2000年9月にはレッスンにやってきていた。	contradiction	1	年月	random	以来（状態動詞）
