num	premise	hypothesis	gold_label	template_num	time_format
1	不良 は 前場 に 上げ 幅 を 縮めて いる 。	不良 は 現在 前場 に 上げ 幅 を 縮めて いる 。	entailment	1	None
2	人々 は 鬼畜 に 人生 を 絶って いる 。	人々 は 現在 鬼畜 に 人生 を 絶って いる 。	entailment	1	None
3	私 は 旦那 に 離婚 を 切り出して いる 。	私 は 現在 旦那 に 離婚 を 切り出して いる 。	entailment	1	None
4	少年 は 言葉 に 決心 を 翻して いる 。	少年 は 現在 言葉 に 決心 を 翻して いる 。	entailment	1	None
5	家族 は 先生 に 指 を 挿して いる 。	家族 は 現在 先生 に 指 を 挿して いる 。	entailment	1	None
6	客 は 内容 に 心 を 害す すって いる 。	客 は 現在 内容 に 心 を 害す すって いる 。	entailment	1	None
7	犯人 は 尋問 に ガム を 割って いる 。	犯人 は 現在 尋問 に ガム を 割って いる 。	entailment	1	None
8	彼女 は 話 に クチ を 割って いる 。	彼女 は 現在 話 に クチ を 割って いる 。	entailment	1	None
9	家族 は 言葉 に 気分 を 害す すって いる 。	家族 は 現在 言葉 に 気分 を 害す すって いる 。	entailment	1	None
10	ライバル は 打 差 に ゲーム 差 を 詰めて いる 。	ライバル は 現在 打 差 に ゲーム 差 を 詰めて いる 。	entailment	1	None
11	私 は 声 に 議 を 決して いる 。	私 は 現在 声 に 議 を 決して いる 。	entailment	1	None
12	人々 は 鬼畜 に 生命 を 絶って いる 。	人々 は 現在 鬼畜 に 生命 を 絶って いる 。	entailment	1	None
13	私 は 遠く に 背筋 を 伸ばせて いる 。	私 は 現在 遠く に 背筋 を 伸ばせて いる 。	entailment	1	None
14	彼女 は 声 に 目 を 擦って いる 。	彼女 は 現在 声 に 目 を 擦って いる 。	entailment	1	None
15	子供 は あちこち に 腕 を 伸ばせて いる 。	子供 は 現在 あちこち に 腕 を 伸ばせて いる 。	entailment	1	None
16	父 は 日本 に 小銭 を せびって いる 。	父 は 現在 日本 に 小銭 を せびって いる 。	entailment	1	None
17	彼 は 真っ二つ に ガム を 割って いる 。	彼 は 現在 真っ二つ に ガム を 割って いる 。	entailment	1	None
18	大人 は 動向 に 目 を 離して いる 。	大人 は 現在 動向 に 目 を 離して いる 。	entailment	1	None
19	大人 は 動向 に 視線 を 離して いる 。	大人 は 現在 動向 に 視線 を 離して いる 。	entailment	1	None
20	高校 生 は 彼 に 穴 を 塞いで いる 。	高校 生 は 現在 彼 に 穴 を 塞いで いる 。	entailment	1	None
21	女性 は 質問 に 息 を 荒らげて いる 。	女性 は 現在 質問 に 息 を 荒らげて いる 。	entailment	1	None
22	妻 は 子供 に 釘 を 挿して いる 。	妻 は 現在 子供 に 釘 を 挿して いる 。	entailment	1	None
