num	premise	hypothesis	gold_label	template_num	time_format
1	不良は前場に上げ幅を縮めている。	不良は現在前場に上げ幅を縮めている。	entailment	1	None
2	人々は鬼畜に人生を絶っている。	人々は現在鬼畜に人生を絶っている。	entailment	1	None
3	私は旦那に離婚を切り出している。	私は現在旦那に離婚を切り出している。	entailment	1	None
4	少年は言葉に決心を翻している。	少年は現在言葉に決心を翻している。	entailment	1	None
5	家族は先生に指を挿している。	家族は現在先生に指を挿している。	entailment	1	None
6	客は内容に心を害すすっている。	客は現在内容に心を害すすっている。	entailment	1	None
7	犯人は尋問にガムを割っている。	犯人は現在尋問にガムを割っている。	entailment	1	None
8	彼女は話にクチを割っている。	彼女は現在話にクチを割っている。	entailment	1	None
9	家族は言葉に気分を害すすっている。	家族は現在言葉に気分を害すすっている。	entailment	1	None
10	ライバルは打差にゲーム差を詰めている。	ライバルは現在打差にゲーム差を詰めている。	entailment	1	None
11	私は声に議を決している。	私は現在声に議を決している。	entailment	1	None
12	人々は鬼畜に生命を絶っている。	人々は現在鬼畜に生命を絶っている。	entailment	1	None
13	私は遠くに背筋を伸ばせている。	私は現在遠くに背筋を伸ばせている。	entailment	1	None
14	彼女は声に目を擦っている。	彼女は現在声に目を擦っている。	entailment	1	None
15	子供はあちこちに腕を伸ばせている。	子供は現在あちこちに腕を伸ばせている。	entailment	1	None
16	父は日本に小銭をせびっている。	父は現在日本に小銭をせびっている。	entailment	1	None
17	彼は真っ二つにガムを割っている。	彼は現在真っ二つにガムを割っている。	entailment	1	None
18	大人は動向に目を離している。	大人は現在動向に目を離している。	entailment	1	None
19	大人は動向に視線を離している。	大人は現在動向に視線を離している。	entailment	1	None
20	高校生は彼に穴を塞いでいる。	高校生は現在彼に穴を塞いでいる。	entailment	1	None
21	女性は質問に息を荒らげている。	女性は現在質問に息を荒らげている。	entailment	1	None
22	妻は子供に釘を挿している。	妻は現在子供に釘を挿している。	entailment	1	None
23	ライバルはポイント差にギャップを詰めている。	ライバルは現在ポイント差にギャップを詰めている。	entailment	1	None
24	私は人々に止めを挿している。	私は現在人々に止めを挿している。	entailment	1	None
25	飼い主は相手に気持ちを緩めている。	飼い主は現在相手に気持ちを緩めている。	entailment	1	None
26	高校生は手に口を塞いでいる。	高校生は現在手に口を塞いでいる。	entailment	1	None
27	彼は方向に身体を翻している。	彼は現在方向に身体を翻している。	entailment	1	None
28	私は暮れに一体何を血迷っている。	私は現在暮れに一体何を血迷っている。	entailment	1	None
29	不良は後場にビハインドを縮めている。	不良は現在後場にビハインドを縮めている。	entailment	1	None
30	全員は運転に一切気を抜けている。	全員は現在運転に一切気を抜けている。	entailment	1	None
31	彼女は痛みに体を捩っている。	彼女は現在痛みに体を捩っている。	entailment	1	None
