num	premise	hypothesis	gold_label	template_num	time_format
1	男は真っ二つにガムを割っている。	男は現在真っ二つにガムを割っている。	entailment	0	None
2	大人は子供に頭を張れている。	大人は現在子供に頭を張れている。	entailment	0	None
3	家族は人々に止めを挿している。	家族は現在人々に止めを挿している。	entailment	0	None
4	私は途端に電話を切っている。	私は現在途端に電話を切っている。	entailment	0	None
5	選手は言葉に場を去っている。	選手は現在言葉に場を去っている。	entailment	0	None
6	私は彼に愛想を尽かしている。	私は現在彼に愛想を尽かしている。	entailment	0	None
7	高校生は何者に胸を塞いでいる。	高校生は現在何者に胸を塞いでいる。	entailment	0	None
8	女性は手に鼻を塞いでいる。	女性は現在手に鼻を塞いでいる。	entailment	0	None
9	私は修行に空間を飛べている。	私は現在修行に空間を飛べている。	entailment	0	None
10	母さんは物音に目を覚ましている。	母さんは現在物音に目を覚ましている。	entailment	0	None
11	大人は子供に目を離している。	大人は現在子供に目を離している。	entailment	0	None
12	選手は声に気を緩めている。	選手は現在声に気を緩めている。	entailment	0	None
13	親は行動に瞳を離している。	親は現在行動に瞳を離している。	entailment	0	None
14	騎手はポイント差に差を詰めている。	騎手は現在ポイント差に差を詰めている。	entailment	0	None
15	妻は母に止めを挿している。	妻は現在母に止めを挿している。	entailment	0	None
16	全員は手入れに時を抜けている。	全員は現在手入れに時を抜けている。	entailment	0	None
17	男は拷問に歯を割っている。	男は現在拷問に歯を割っている。	entailment	0	None
18	両親は男に小遣いをせびっている。	両親は現在男に小遣いをせびっている。	entailment	0	None
19	私は動向に目を離している。	私は現在動向に目を離している。	entailment	0	None
20	選手は早足に議場を去っている。	選手は現在早足に議場を去っている。	entailment	0	None
21	彼は暮れにナニを血迷っている。	彼は現在暮れにナニを血迷っている。	entailment	0	None
22	質問者は込みに心証を害すすっている。	質問者は現在込みに心証を害すすっている。	entailment	0	None
23	子供は下に爪を伸ばせている。	子供は現在下に爪を伸ばせている。	entailment	0	None
24	飼い主は子供に目を離している。	飼い主は現在子供に目を離している。	entailment	0	None
25	私は相手にメールを切っている。	私は現在相手にメールを切っている。	entailment	0	None
26	皆は下に身体を伸ばせている。	皆は現在下に身体を伸ばせている。	entailment	0	None
27	甘えん坊は夫に口付けをせがんでいる。	甘えん坊は現在夫に口付けをせがんでいる。	entailment	0	None
28	亜衣は時間帯に会社を出ている。	亜衣は現在時間帯に会社を出ている。	entailment	0	None
29	相手はどっかに突然姿を晦ましている。	相手は現在どっかに突然姿を晦ましている。	entailment	0	None
30	私は草々に場を立ち去っている。	私は現在草々に場を立ち去っている。	entailment	0	None
31	客は込みに心証を害すすっている。	客は現在込みに心証を害すすっている。	entailment	0	None
32	彼女は縦に口を割っている。	彼女は現在縦に口を割っている。	entailment	0	None
33	男は質問に喉を割っている。	男は現在質問に喉を割っている。	entailment	0	None
34	妻は蚊に注射針を挿している。	妻は現在蚊に注射針を挿している。	entailment	0	None
35	博士は相手に茶を濁している。	博士は現在相手に茶を濁している。	entailment	0	None
36	子供は画面に目を合わしている。	子供は現在画面に目を合わしている。	entailment	0	None
37	選手は命取りに気分を緩めている。	選手は現在命取りに気分を緩めている。	entailment	0	None
38	男は真っ二つに喉を割っている。	男は現在真っ二つに喉を割っている。	entailment	0	None
39	妻は母に針を挿している。	妻は現在母に針を挿している。	entailment	0	None
40	選手は打差にタイム差を詰めている。	選手は現在打差にタイム差を詰めている。	entailment	0	None
41	親は動向に瞳を離している。	親は現在動向に瞳を離している。	entailment	0	None
42	少年は闇にカードを翻している。	少年は現在闇にカードを翻している。	entailment	0	None
43	議員は言葉に口調を荒らげている。	議員は現在言葉に口調を荒らげている。	entailment	0	None
44	少年は左に身体を躱している。	少年は現在左に身体を躱している。	entailment	0	None
45	姉は様に説明を翻している。	姉は現在様に説明を翻している。	entailment	0	None
46	全員は余震に気を抜けている。	全員は現在余震に気を抜けている。	entailment	0	None
47	夫は主人に離婚を切り出している。	夫は現在主人に離婚を切り出している。	entailment	0	None
48	人々は母親に命を絶っている。	人々は現在母親に命を絶っている。	entailment	0	None
