num	premise	hypothesis	gold_label	template_num	time_format
1	デイヴは片手に表通りを歩いている。	デイヴは現在片手に表通りを歩いている。	entailment	0	None
2	パットは問題に口を挟んでいる。	パットは現在問題に口を挟んでいる。	entailment	0	None
3	デイヴは休みに音楽会を開いている。	デイヴは現在休みに音楽会を開いている。	entailment	0	None
4	エレンは胸に彼女を抱き締めている。	エレンは現在胸に彼女を抱き締めている。	entailment	0	None
5	スティーブは皆様に問い合わせ先を紹介している。	スティーブは現在皆様に問い合わせ先を紹介している。	entailment	0	None
6	プロッドはブログに私事を書いている。	プロッドは現在ブログに私事を書いている。	entailment	0	None
7	エレンは歌合戦に出走を果たしている。	エレンは現在歌合戦に出走を果たしている。	entailment	0	None
8	ビクターは後ろに眉尻を下げている。	ビクターは現在後ろに眉尻を下げている。	entailment	0	None
9	ウォルターは最新版に人口を更新している。	ウォルターは現在最新版に人口を更新している。	entailment	0	None
10	イヴァンはノートに更新を書いている。	イヴァンは現在ノートに更新を書いている。	entailment	0	None
11	プロッドは片手に青春を歌っている。	プロッドは現在片手に青春を歌っている。	entailment	0	None
12	デイヴはざまに顔を触っている。	デイヴは現在ざまに顔を触っている。	entailment	0	None
13	マチルダは女に左手を揚げている。	マチルダは現在女に左手を揚げている。	entailment	0	None
14	アリスは作りに貢献を果たしている。	アリスは現在作りに貢献を果たしている。	entailment	0	None
15	マチルダは先生にワクチンを贈っている。	マチルダは現在先生にワクチンを贈っている。	entailment	0	None
16	デイヴは世界に夫婦を案内している。	デイヴは現在世界に夫婦を案内している。	entailment	0	None
17	アイザックは共演に顔を揃えている。	アイザックは現在共演に顔を揃えている。	entailment	0	None
18	イブは所轄庁に同意書を提出している。	イブは現在所轄庁に同意書を提出している。	entailment	0	None
19	マロリーは成長に存在を駆けている。	マロリーは現在成長に存在を駆けている。	entailment	0	None
20	イヴァンは友達にテーマをしている。	イヴァンは現在友達にテーマをしている。	entailment	0	None
21	マーヴィンは選手に質問を行っている。	マーヴィンは現在選手に質問を行っている。	entailment	0	None
22	ビクターは女に風船を上げている。	ビクターは現在女に風船を上げている。	entailment	0	None
23	ボブは変化に高騰を受けている。	ボブは現在変化に高騰を受けている。	entailment	0	None
24	アイザックは父さんにハンカチを贈っている。	アイザックは現在父さんにハンカチを贈っている。	entailment	0	None
25	アリスは委員会に可決を致している。	アリスは現在委員会に可決を致している。	entailment	0	None
26	パットは上に首を挙げている。	パットは現在上に首を挙げている。	entailment	0	None
27	パットは相手に味を見せている。	パットは現在相手に味を見せている。	entailment	0	None
28	ゾーイは甲に賃金を支払っている。	ゾーイは現在甲に賃金を支払っている。	entailment	0	None
29	マレットは皆様にヒアリングを致している。	マレットは現在皆様にヒアリングを致している。	entailment	0	None
30	アリスは客に病院を案内している。	アリスは現在客に病院を案内している。	entailment	0	None
31	デイヴは相手に追加点を奪っている。	デイヴは現在相手に追加点を奪っている。	entailment	0	None
32	プロッドは性能に不動産を駆けている。	プロッドは現在性能に不動産を駆けている。	entailment	0	None
33	トルーディーはメールに返信を致している。	トルーディーは現在メールに返信を致している。	entailment	0	None
34	マレットは脳に害を受けている。	マレットは現在脳に害を受けている。	entailment	0	None
35	スティーブは表に紐を出している。	スティーブは現在表に紐を出している。	entailment	0	None
36	スティーブは商品に所有権を持っている。	スティーブは現在商品に所有権を持っている。	entailment	0	None
37	トルーディーは声にルーフを開けている。	トルーディーは現在声にルーフを開けている。	entailment	0	None
38	マーヴィンは文章に書面を持っている。	マーヴィンは現在文章に書面を持っている。	entailment	0	None
39	アイザックは子にワザを教えている。	アイザックは現在子にワザを教えている。	entailment	0	None
40	パットは時に意味合いを知っている。	パットは現在時に意味合いを知っている。	entailment	0	None
41	スティーブは以下に上限を定めている。	スティーブは現在以下に上限を定めている。	entailment	0	None
42	スティーブはドームに日の出を迎えている。	スティーブは現在ドームに日の出を迎えている。	entailment	0	None
43	デイヴはデートに息子を誘っている。	デイヴは現在デートに息子を誘っている。	entailment	0	None
44	スティーブは目に報告をしている。	スティーブは現在目に報告をしている。	entailment	0	None
45	ゾーイは皆様に製品を贈呈している。	ゾーイは現在皆様に製品を贈呈している。	entailment	0	None
46	パットは肌に文句を使っている。	パットは現在肌に文句を使っている。	entailment	0	None
47	オスカーは彼女に胡蝶蘭を贈っている。	オスカーは現在彼女に胡蝶蘭を贈っている。	entailment	0	None
48	フランクはメーンに料理を選んでいる。	フランクは現在メーンに料理を選んでいる。	entailment	0	None
49	ウォルターは舞台に性能を現している。	ウォルターは現在舞台に性能を現している。	entailment	0	None
50	エレンは動向に変動を受けている。	エレンは現在動向に変動を受けている。	entailment	0	None
51	2020年以来、イヴァンは科に入院している。現在、2010年である。	イヴァンは2003年には科に入院していた。	contradiction	1	年
52	2011年以来、マーヴィンは米子に帰っている。現在、2020年である。	マーヴィンは2006年には米子に帰っていた。	contradiction	1	年
53	2002年以来、プロッドは機関に提供している。現在、2003年である。	プロッドは2013年には機関に提供していた。	neutral	1	年
54	2011年以来、ボブは収穫に参加している。現在、2015年である。	ボブは2014年には収穫に参加していた。	entailment	1	年
55	2012年以来、デイヴは休みに開いている。現在、2017年である。	デイヴは2017年には休みに開いていた。	entailment	1	年
56	2015年以来、アリスは鳥に出掛けている。現在、2004年である。	アリスは2006年には鳥に出掛けていた。	contradiction	1	年
57	2016年以来、ジャスティンはブログに書いている。現在、2020年である。	ジャスティンは2006年にはブログに書いていた。	contradiction	1	年
58	2003年以来、アイザックは生徒に説明している。現在、2014年である。	アイザックは2002年には生徒に説明していた。	contradiction	1	年
59	2015年以来、キャロルは報告書に纏めている。現在、2006年である。	キャロルは2015年には報告書に纏めていた。	neutral	1	年
60	2007年以来、デイヴは大阪に旅立っている。現在、2002年である。	デイヴは2018年には大阪に旅立っていた。	neutral	1	年
61	2005年以来、ボブは買収に上げている。現在、2013年である。	ボブは2019年には買収に上げていた。	neutral	1	年
62	2016年以来、デイヴは久し振りに会っている。現在、2005年である。	デイヴは2007年には久し振りに会っていた。	contradiction	1	年
63	2014年以来、ボブは例に揚げている。現在、2003年である。	ボブは2017年には例に揚げていた。	neutral	1	年
64	2001年以来、ウォルターは手伝いに参っている。現在、2020年である。	ウォルターは2000年には手伝いに参っていた。	contradiction	1	年
