num	premise	hypothesis	gold_label	template_num	time_format	time_span
1	マーヴィンは皆にプログラムを教えている。	マーヴィンは現在皆にプログラムを教えている。	entailment	0	None	None
2	ウォルターは回答に祝辞を申し上げている。	ウォルターは現在回答に祝辞を申し上げている。	entailment	0	None	None
3	ウォルターは問いに首を傾げている。	ウォルターは現在問いに首を傾げている。	entailment	0	None	None
4	イブは友人にジャージを貰っている。	イブは現在友人にジャージを貰っている。	entailment	0	None	None
5	キャロルは時に存在を知っている。	キャロルは現在時に存在を知っている。	entailment	0	None	None
6	イブはオフィスに一瞬顔を出している。	イブは現在オフィスに一瞬顔を出している。	entailment	0	None	None
7	マレットは対象に役会を開いている。	マレットは現在対象に役会を開いている。	entailment	0	None	None
8	マロリーは管理者にライセンス料を支払っている。	マロリーは現在管理者にライセンス料を支払っている。	entailment	0	None	None
9	ボブは言葉にズボンを揚げている。	ボブは現在言葉にズボンを揚げている。	entailment	0	None	None
10	エレンは後ろに身体を引いている。	エレンは現在後ろに身体を引いている。	entailment	0	None	None
11	フランクは後任者に事務を引き継いでいる。	フランクは現在後任者に事務を引き継いでいる。	entailment	0	None	None
12	トレントは客に情報を伝えている。	トレントは現在客に情報を伝えている。	entailment	0	None	None
13	ゾーイは台詞に面を上げている。	ゾーイは現在台詞に面を上げている。	entailment	0	None	None
14	キャロルは後任者に仕事を引き継いでいる。	キャロルは現在後任者に仕事を引き継いでいる。	entailment	0	None	None
15	アイザックは僕に葉書きを繰れている。	アイザックは現在僕に葉書きを繰れている。	entailment	0	None	None
16	キャロルは相手にテーマを選んでいる。	キャロルは現在相手にテーマを選んでいる。	entailment	0	None	None
17	パットはスポンサーに気炎を上げている。	パットは現在スポンサーに気炎を上げている。	entailment	0	None	None
18	マロリーは客に面接日を案内している。	マロリーは現在客に面接日を案内している。	entailment	0	None	None
19	イヴァンはそれぞれに心構えを語っている。	イヴァンは現在それぞれに心構えを語っている。	entailment	0	None	None
20	マチルダは知恵に概念を変えている。	マチルダは現在知恵に概念を変えている。	entailment	0	None	None
21	マロリーは報告に校長室を訪れている。	マロリーは現在報告に校長室を訪れている。	entailment	0	None	None
22	デイヴはボールに片腕を伸ばしている。	デイヴは現在ボールに片腕を伸ばしている。	entailment	0	None	None
23	チャーリーは被害者にインセンティブを支払っている。	チャーリーは現在被害者にインセンティブを支払っている。	entailment	0	None	None
24	トルーディーはナイフに髪を伸ばしている。	トルーディーは現在ナイフに髪を伸ばしている。	entailment	0	None	None
25	スティーブは彼女に桜を贈っている。	スティーブは現在彼女に桜を贈っている。	entailment	0	None	None
26	2000年以来、マチルダは嫁に行っている。現在、2007年である。	マチルダは2004年には嫁に行っていた。	entailment	1	年	random
27	2006年以来、マロリーは彼女に貸している。現在、2007年である。	マロリーは2001年には彼女に貸していた。	contradiction	1	年	random
28	2002年以来、アイザックは機関に行っている。現在、2009年である。	アイザックは2011年には機関に行っていた。	neutral	1	年	random
29	2018年以来、イブは排除に成功している。現在、2005年である。	イブは2019年には排除に成功していた。	neutral	1	年	random
30	2008年以来、マーヴィンは事実に隠せている。現在、2000年である。	マーヴィンは2016年には事実に隠せていた。	neutral	1	年	random
31	2018年以来、マレットは日本に多かっている。現在、2002年である。	マレットは2010年には日本に多かっていた。	contradiction	1	年	random
32	2018年以来、マレットは相手に近付いている。現在、2005年である。	マレットは2010年には相手に近付いていた。	contradiction	1	年	random
33	2001年以来、ビクターは提案に載っている。現在、2009年である。	ビクターは2014年には提案に載っていた。	neutral	1	年	random
34	2015年以来、ボブは更新時に予定している。現在、2017年である。	ボブは2015年には更新時に予定していた。	entailment	1	年	random
35	2012年以来、ジャスティンは管理者に支払っている。現在、2014年である。	ジャスティンは2018年には管理者に支払っていた。	neutral	1	年	random
36	2000年以来、アリスは相手に見せている。現在、2000年である。	アリスは2019年には相手に見せていた。	neutral	1	年	random
37	2016年以来、マチルダは実施に負っている。現在、2015年である。	マチルダは2017年には実施に負っていた。	neutral	1	年	random
38	2004年以来、オスカーは教育に持っている。現在、2001年である。	オスカーは2000年には教育に持っていた。	contradiction	1	年	random
39	2006年以来、エレンは客に届けている。現在、2019年である。	エレンは2003年には客に届けていた。	contradiction	1	年	random
40	2005年以来、イブは子供に揚げている。現在、2009年である。	イブは2010年には子供に揚げていた。	neutral	1	年	random
41	2013年以来、エレンは依頼に伺っている。現在、2014年である。	エレンは2007年には依頼に伺っていた。	contradiction	1	年	random
42	2013年以来、ウォルターは祭りにやってきている。現在、2004年である。	ウォルターは2014年には祭りにやってきていた。	neutral	1	年	random
43	2012年以来、ウォルターは上司に受けている。現在、2004年である。	ウォルターは2005年には上司に受けていた。	contradiction	1	年	random
44	2011年以来、イブは客に致している。現在、2013年である。	イブは2003年には客に致していた。	contradiction	1	年	random
45	2007年以来、ゾーイは口にしている。現在、2013年である。	ゾーイは2008年には口にしていた。	entailment	1	年	random
46	2003年以来、イブは上に着用している。現在、2008年である。	イブは2007年には上に着用していた。	entailment	1	年	random
47	2014年以来、チャーリーは後任に就任している。現在、2018年である。	チャーリーは2013年には後任に就任していた。	contradiction	1	年	random
48	2012年以来、ビクターは目の前に表している。現在、2002年である。	ビクターは2010年には目の前に表していた。	contradiction	1	年	random
49	2003年以来、トレントはデスノートに書いている。現在、2006年である。	トレントは2007年にはデスノートに書いていた。	neutral	1	年	random
50	2005年以来、トルーディーは間際に奪っている。現在、2020年である。	トルーディーは2013年には間際に奪っていた。	entailment	1	年	random
51	2011年以来、イヴァンは手伝いに参っている。現在、2011年である。	イヴァンは2010年には手伝いに参っていた。	contradiction	1	年	short
52	2013年以来、プロッドは私に開いている。現在、2014年である。	プロッドは2013年には私に開いていた。	entailment	1	年	short
53	2011年以来、パットは転換に切っている。現在、2010年である。	パットは2012年には転換に切っていた。	neutral	1	年	short
54	2005年以来、パットは外部に提供している。現在、2005年である。	パットは2009年には外部に提供していた。	neutral	1	年	short
55	2009年以来、スティーブは先生に下げている。現在、2009年である。	スティーブは2011年には先生に下げていた。	neutral	1	年	short
56	2006年以来、マチルダは相手に上げている。現在、2007年である。	マチルダは2006年には相手に上げていた。	entailment	1	年	short
57	2013年以来、イブは青森駅に到着している。現在、2013年である。	イブは2014年には青森駅に到着していた。	neutral	1	年	short
58	2016年以来、マロリーは価格に罹っている。現在、2015年である。	マロリーは2016年には価格に罹っていた。	neutral	1	年	short
59	2006年以来、パットは子供に揚げている。現在、2007年である。	パットは2005年には子供に揚げていた。	contradiction	1	年	short
60	2013年以来、マレットは布団に帰っている。現在、2012年である。	マレットは2013年には布団に帰っていた。	neutral	1	年	short
61	2015年以来、キャロルは達成に持っている。現在、2015年である。	キャロルは2015年には達成に持っていた。	entailment	1	年	short
62	2012年以来、マチルダは委員会に致している。現在、2015年である。	マチルダは2013年には委員会に致していた。	entailment	1	年	short
63	2003年以来、フランクはヨーロッパに留学している。現在、2006年である。	フランクは2002年にはヨーロッパに留学していた。	contradiction	1	年	short
64	2007年以来、ボブは下に引っ張っている。現在、2006年である。	ボブは2006年には下に引っ張っていた。	contradiction	1	年	short
65	2005年以来、ウォルターは明治村に行っている。現在、2004年である。	ウォルターは2001年には明治村に行っていた。	contradiction	1	年	short
66	2014年以来、エレンは提案に載っている。現在、2013年である。	エレンは2013年には提案に載っていた。	contradiction	1	年	short
67	2015年以来、トレントはリクに会っている。現在、2015年である。	トレントは2013年にはリクに会っていた。	contradiction	1	年	short
68	2014年以来、ボブは映画に出掛けている。現在、2017年である。	ボブは2014年には映画に出掛けていた。	entailment	1	年	short
69	2018年以来、イヴァンは申込に鳴れている。現在、2015年である。	イヴァンは2019年には申込に鳴れていた。	neutral	1	年	short
70	2016年以来、ジャスティンは御礼に歌っている。現在、2016年である。	ジャスティンは2013年には御礼に歌っていた。	contradiction	1	年	short
71	2010年以来、チャーリーは音に向けている。現在、2012年である。	チャーリーは2011年には音に向けていた。	entailment	1	年	short
72	2011年以来、ビクターは判断に持っている。現在、2011年である。	ビクターは2011年には判断に持っていた。	entailment	1	年	short
73	2010年以来、エレンは音に覚ましている。現在、2009年である。	エレンは2008年には音に覚ましていた。	contradiction	1	年	short
74	2004年以来、チャーリーは私にきている。現在、2005年である。	チャーリーは2004年には私にきていた。	entailment	1	年	short
75	2017年以来、チャーリーは病院に支払っている。現在、2015年である。	チャーリーは2016年には病院に支払っていた。	contradiction	1	年	short
76	2013年11月以来、イヴァンは肺に起こしている。現在、2013年9月である。	イヴァンは2002年9月には肺に起こしていた。	contradiction	1	年月	random
77	2001年7月以来、ペギーはサイエンスに発表している。現在、2001年6月である。	ペギーは2008年5月にはサイエンスに発表していた。	neutral	1	年月	random
78	2014年12月以来、ペギーは部長に死んでいる。現在、2002年12月である。	ペギーは2007年9月には部長に死んでいた。	contradiction	1	年月	random
79	2007年5月以来、マロリーは選手に行っている。現在、2010年10月である。	マロリーは2001年11月には選手に行っていた。	contradiction	1	年月	random
80	2014年10月以来、キャロルは加減に使っている。現在、2019年1月である。	キャロルは2015年10月には加減に使っていた。	entailment	1	年月	random
