num	premise	hypothesis	gold_label	template_num	time_format	time_span
1	マーヴィン は 皆 に プログラム を 教えて いる 。	マーヴィン は 現在 皆 に プログラム を 教えて いる 。	entailment	0	None	None
2	ウォルター は 回答 に 祝辞 を 申し上げて いる 。	ウォルター は 現在 回答 に 祝辞 を 申し上げて いる 。	entailment	0	None	None
3	ウォルター は 問い に 首 を 傾げて いる 。	ウォルター は 現在 問い に 首 を 傾げて いる 。	entailment	0	None	None
4	イブ は 友人 に ジャージ を 貰って いる 。	イブ は 現在 友人 に ジャージ を 貰って いる 。	entailment	0	None	None
5	キャロル は 時 に 存在 を 知って いる 。	キャロル は 現在 時 に 存在 を 知って いる 。	entailment	0	None	None
6	イブ は オフィス に 一瞬 顔 を 出して いる 。	イブ は 現在 オフィス に 一瞬 顔 を 出して いる 。	entailment	0	None	None
7	マレット は 対象 に 役 会 を 開いて いる 。	マレット は 現在 対象 に 役 会 を 開いて いる 。	entailment	0	None	None
8	マロリー は 管理 者 に ライセンス 料 を 支払って いる 。	マロリー は 現在 管理 者 に ライセンス 料 を 支払って いる 。	entailment	0	None	None
9	ボブ は 言葉 に ズボン を 揚げて いる 。	ボブ は 現在 言葉 に ズボン を 揚げて いる 。	entailment	0	None	None
10	エレン は 後ろ に 身体 を 引いて いる 。	エレン は 現在 後ろ に 身体 を 引いて いる 。	entailment	0	None	None
11	フランク は 後任 者 に 事務 を 引き継いで いる 。	フランク は 現在 後任 者 に 事務 を 引き継いで いる 。	entailment	0	None	None
12	トレント は 客 に 情報 を 伝えて いる 。	トレント は 現在 客 に 情報 を 伝えて いる 。	entailment	0	None	None
13	ゾーイ は 台詞 に 面 を 上げて いる 。	ゾーイ は 現在 台詞 に 面 を 上げて いる 。	entailment	0	None	None
14	キャロル は 後任 者 に 仕事 を 引き継いで いる 。	キャロル は 現在 後任 者 に 仕事 を 引き継いで いる 。	entailment	0	None	None
15	アイザック は 僕 に 葉書き を 繰れて いる 。	アイザック は 現在 僕 に 葉書き を 繰れて いる 。	entailment	0	None	None
16	キャロル は 相手 に テーマ を 選んで いる 。	キャロル は 現在 相手 に テーマ を 選んで いる 。	entailment	0	None	None
17	パット は スポンサー に 気炎 を 上げて いる 。	パット は 現在 スポンサー に 気炎 を 上げて いる 。	entailment	0	None	None
18	マロリー は 客 に 面接 日 を 案内 して いる 。	マロリー は 現在 客 に 面接 日 を 案内 して いる 。	entailment	0	None	None
19	イヴァン は それぞれ に 心構え を 語って いる 。	イヴァン は 現在 それぞれ に 心構え を 語って いる 。	entailment	0	None	None
20	マチルダ は 知恵 に 概念 を 変えて いる 。	マチルダ は 現在 知恵 に 概念 を 変えて いる 。	entailment	0	None	None
21	マロリー は 報告 に 校長 室 を 訪れて いる 。	マロリー は 現在 報告 に 校長 室 を 訪れて いる 。	entailment	0	None	None
22	デイヴ は ボール に 片腕 を 伸ばして いる 。	デイヴ は 現在 ボール に 片腕 を 伸ばして いる 。	entailment	0	None	None
23	チャーリー は 被害 者 に インセンティブ を 支払って いる 。	チャーリー は 現在 被害 者 に インセンティブ を 支払って いる 。	entailment	0	None	None
24	トルーディー は ナイフ に 髪 を 伸ばして いる 。	トルーディー は 現在 ナイフ に 髪 を 伸ばして いる 。	entailment	0	None	None
25	スティーブ は 彼女 に 桜 を 贈って いる 。	スティーブ は 現在 彼女 に 桜 を 贈って いる 。	entailment	0	None	None
26	2000 年 以来 、 マチルダ は 嫁 に 行って いる 。 現在 、 2007 年 である 。	マチルダ は 2004 年 に は 嫁 に 行って いた 。	entailment	1	年	random
27	2006 年 以来 、 マロリー は 彼女 に 貸して いる 。 現在 、 2007 年 である 。	マロリー は 2001 年 に は 彼女 に 貸して いた 。	contradiction	1	年	random
28	2002 年 以来 、 アイザック は 機関 に 行って いる 。 現在 、 2009 年 である 。	アイザック は 2011 年 に は 機関 に 行って いた 。	neutral	1	年	random
29	2018 年 以来 、 イブ は 排除 に 成功 して いる 。 現在 、 2005 年 である 。	イブ は 2019 年 に は 排除 に 成功 して いた 。	neutral	1	年	random
30	2008 年 以来 、 マーヴィン は 事実 に 隠せて いる 。 現在 、 2000 年 である 。	マーヴィン は 2016 年 に は 事実 に 隠せて いた 。	neutral	1	年	random
31	2018 年 以来 、 マレット は 日本 に 多 かって いる 。 現在 、 2002 年 である 。	マレット は 2010 年 に は 日本 に 多 かって いた 。	contradiction	1	年	random
32	2018 年 以来 、 マレット は 相手 に 近付いて いる 。 現在 、 2005 年 である 。	マレット は 2010 年 に は 相手 に 近付いて いた 。	contradiction	1	年	random
33	2001 年 以来 、 ビクター は 提案 に 載って いる 。 現在 、 2009 年 である 。	ビクター は 2014 年 に は 提案 に 載って いた 。	neutral	1	年	random
34	2015 年 以来 、 ボブ は 更新 時 に 予定 して いる 。 現在 、 2017 年 である 。	ボブ は 2015 年 に は 更新 時 に 予定 して いた 。	entailment	1	年	random
35	2012 年 以来 、 ジャスティン は 管理 者 に 支払って いる 。 現在 、 2014 年 である 。	ジャスティン は 2018 年 に は 管理 者 に 支払って いた 。	neutral	1	年	random
36	2000 年 以来 、 アリス は 相手 に 見せて いる 。 現在 、 2000 年 である 。	アリス は 2019 年 に は 相手 に 見せて いた 。	neutral	1	年	random
37	2016 年 以来 、 マチルダ は 実施 に 負って いる 。 現在 、 2015 年 である 。	マチルダ は 2017 年 に は 実施 に 負って いた 。	neutral	1	年	random
38	2004 年 以来 、 オスカー は 教育 に 持って いる 。 現在 、 2001 年 である 。	オスカー は 2000 年 に は 教育 に 持って いた 。	contradiction	1	年	random
39	2006 年 以来 、 エレン は 客 に 届けて いる 。 現在 、 2019 年 である 。	エレン は 2003 年 に は 客 に 届けて いた 。	contradiction	1	年	random
40	2005 年 以来 、 イブ は 子供 に 揚げて いる 。 現在 、 2009 年 である 。	イブ は 2010 年 に は 子供 に 揚げて いた 。	neutral	1	年	random
41	2013 年 以来 、 エレン は 依頼 に 伺って いる 。 現在 、 2014 年 である 。	エレン は 2007 年 に は 依頼 に 伺って いた 。	contradiction	1	年	random
42	2013 年 以来 、 ウォルター は 祭り に やってきて いる 。 現在 、 2004 年 である 。	ウォルター は 2014 年 に は 祭り に やってきて いた 。	neutral	1	年	random
43	2012 年 以来 、 ウォルター は 上司 に 受けて いる 。 現在 、 2004 年 である 。	ウォルター は 2005 年 に は 上司 に 受けて いた 。	contradiction	1	年	random
44	2011 年 以来 、 イブ は 客 に 致して いる 。 現在 、 2013 年 である 。	イブ は 2003 年 に は 客 に 致して いた 。	contradiction	1	年	random
45	2007 年 以来 、 ゾーイ は 口 に して いる 。 現在 、 2013 年 である 。	ゾーイ は 2008 年 に は 口 に して いた 。	entailment	1	年	random
46	2003 年 以来 、 イブ は 上 に 着用 して いる 。 現在 、 2008 年 である 。	イブ は 2007 年 に は 上 に 着用 して いた 。	entailment	1	年	random
47	2014 年 以来 、 チャーリー は 後任 に 就任 して いる 。 現在 、 2018 年 である 。	チャーリー は 2013 年 に は 後任 に 就任 して いた 。	contradiction	1	年	random
48	2012 年 以来 、 ビクター は 目の前 に 表して いる 。 現在 、 2002 年 である 。	ビクター は 2010 年 に は 目の前 に 表して いた 。	contradiction	1	年	random
49	2003 年 以来 、 トレント は デスノート に 書いて いる 。 現在 、 2006 年 である 。	トレント は 2007 年 に は デスノート に 書いて いた 。	neutral	1	年	random
50	2005 年 以来 、 トルーディー は 間際 に 奪って いる 。 現在 、 2020 年 である 。	トルーディー は 2013 年 に は 間際 に 奪って いた 。	entailment	1	年	random
51	2011 年 以来 、 イヴァン は 手伝い に 参って いる 。 現在 、 2011 年 である 。	イヴァン は 2010 年 に は 手伝い に 参って いた 。	contradiction	1	年	short
52	2013 年 以来 、 プロッド は 私 に 開いて いる 。 現在 、 2014 年 である 。	プロッド は 2013 年 に は 私 に 開いて いた 。	entailment	1	年	short
53	2011 年 以来 、 パット は 転換 に 切って いる 。 現在 、 2010 年 である 。	パット は 2012 年 に は 転換 に 切って いた 。	neutral	1	年	short
54	2005 年 以来 、 パット は 外部 に 提供 して いる 。 現在 、 2005 年 である 。	パット は 2009 年 に は 外部 に 提供 して いた 。	neutral	1	年	short
55	2009 年 以来 、 スティーブ は 先生 に 下げて いる 。 現在 、 2009 年 である 。	スティーブ は 2011 年 に は 先生 に 下げて いた 。	neutral	1	年	short
56	2006 年 以来 、 マチルダ は 相手 に 上げて いる 。 現在 、 2007 年 である 。	マチルダ は 2006 年 に は 相手 に 上げて いた 。	entailment	1	年	short
57	2013 年 以来 、 イブ は 青森 駅 に 到着 して いる 。 現在 、 2013 年 である 。	イブ は 2014 年 に は 青森 駅 に 到着 して いた 。	neutral	1	年	short
58	2016 年 以来 、 マロリー は 価格 に 罹って いる 。 現在 、 2015 年 である 。	マロリー は 2016 年 に は 価格 に 罹って いた 。	neutral	1	年	short
59	2006 年 以来 、 パット は 子供 に 揚げて いる 。 現在 、 2007 年 である 。	パット は 2005 年 に は 子供 に 揚げて いた 。	contradiction	1	年	short
