num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
1	マーヴィンは皆にプログラムを教えている。	マーヴィンは現在皆にプログラムを教えている。	entailment	0	None	None	現在（現在形）
2	ウォルターは回答に祝辞を申し上げている。	ウォルターは現在回答に祝辞を申し上げている。	entailment	0	None	None	現在（現在形）
3	ウォルターは問いに首を傾げている。	ウォルターは現在問いに首を傾げている。	entailment	0	None	None	現在（現在形）
4	イブは友人にジャージを貰っている。	イブは現在友人にジャージを貰っている。	entailment	0	None	None	現在（現在形）
5	キャロルは時に存在を知っている。	キャロルは現在時に存在を知っている。	entailment	0	None	None	現在（現在形）
6	イブはオフィスに一瞬顔を出している。	イブは現在オフィスに一瞬顔を出している。	entailment	0	None	None	現在（現在形）
7	マレットは対象に役会を開いている。	マレットは現在対象に役会を開いている。	entailment	0	None	None	現在（現在形）
8	マロリーは管理者にライセンス料を支払っている。	マロリーは現在管理者にライセンス料を支払っている。	entailment	0	None	None	現在（現在形）
9	ボブは言葉にズボンを揚げている。	ボブは現在言葉にズボンを揚げている。	entailment	0	None	None	現在（現在形）
10	エレンは後ろに身体を引いている。	エレンは現在後ろに身体を引いている。	entailment	0	None	None	現在（現在形）
11	フランクは後任者に事務を引き継いでいる。	フランクは現在後任者に事務を引き継いでいる。	entailment	0	None	None	現在（現在形）
12	トレントは客に情報を伝えている。	トレントは現在客に情報を伝えている。	entailment	0	None	None	現在（現在形）
13	ゾーイは台詞に面を上げている。	ゾーイは現在台詞に面を上げている。	entailment	0	None	None	現在（現在形）
14	キャロルは後任者に仕事を引き継いでいる。	キャロルは現在後任者に仕事を引き継いでいる。	entailment	0	None	None	現在（現在形）
15	アイザックは僕に葉書きを繰れている。	アイザックは現在僕に葉書きを繰れている。	entailment	0	None	None	現在（現在形）
16	2006年以来、ゾーイは候補に揚げている。現在、2001年である。	ゾーイは2015年には候補に揚げていた。	neutral	1	年	random	以来（状態動詞）
17	2006年以来、アリスは監督に発表している。現在、2014年である。	アリスは2002年には監督に発表していた。	contradiction	1	年	random	以来（状態動詞）
18	2009年以来、ウォルターは報告に訪れている。現在、2011年である。	ウォルターは2003年には報告に訪れていた。	contradiction	1	年	random	以来（状態動詞）
19	2015年以来、マレットは神様に伝えている。現在、2009年である。	マレットは2006年には神様に伝えていた。	contradiction	1	年	random	以来（状態動詞）
20	2012年以来、チャーリーは病院に支払っている。現在、2003年である。	チャーリーは2004年には病院に支払っていた。	contradiction	1	年	random	以来（状態動詞）
21	2013年以来、イヴァンは肺に起こしている。現在、2002年である。	イヴァンは2011年には肺に起こしていた。	contradiction	1	年	random	以来（状態動詞）
22	2010年以来、イヴァンは教習所に通えている。現在、2012年である。	イヴァンは2007年には教習所に通えていた。	contradiction	1	年	random	以来（状態動詞）
23	2014年以来、アイザックは部長に死んでいる。現在、2002年である。	アイザックは2007年には部長に死んでいた。	contradiction	1	年	random	以来（状態動詞）
24	2007年以来、マロリーは選手に行っている。現在、2010年である。	マロリーは2001年には選手に行っていた。	contradiction	1	年	random	以来（状態動詞）
25	2014年以来、キャロルは加減に使っている。現在、2019年である。	キャロルは2015年には加減に使っていた。	entailment	1	年	random	以来（状態動詞）
26	2009年以来、アイザックは家に呼んでいる。現在、2013年である。	アイザックは2008年には家に呼んでいた。	contradiction	1	年	random	以来（状態動詞）
